p635,25,p217,Dogs
p363,62,p8,Cats
p685,67,p214,Cats
p795,53,p334,Cats
p912,6,p851,Dogs
p533,22,p59,Reptiles
p63,35,p270,Cats
p101,9,p386,Fish
p383,65,p77,Dogs
p930,19,p37,Reptiles
p800,53,p583,Fish
p596,65,p458,Cats
p123,12,p319,Birds
p126,49,p16,Reptiles
p236,65,p42,Reptiles
p524,31,p832,Fish
p41,50,p5,Cats
p966,33,p142,Birds
p152,30,p993,Dogs
p395,59,p822,Dogs
p668,42,p657,Birds
p462,23,p673,Dogs
p545,33,p272,Birds
p412,23,p695,Reptiles
p691,26,p14,Dogs
p92,51,p309,Reptiles
p891,61,p201,Reptiles
p893,64,p342,Birds
p385,45,p622,Reptiles
p978,23,p43,Cats
p362,32,p623,Dogs
p201,13,p733,Birds
p835,30,p683,Cats
p383,11,p975,Cats
p243,29,p323,Birds
p205,28,p718,Cats
p93,7,p641,Cats
p214,53,p554,Birds
p299,67,p904,Reptiles
p230,13,p236,Fish
p491,3,p753,Dogs
p268,1,p800,Reptiles
p54,6,p642,Cats
p456,45,p810,Reptiles
p411,25,p982,Dogs
p461,59,p978,Birds
p840,53,p329,Dogs
p343,50,p554,Fish
p761,41,p371,Cats
p30,16,p916,Fish
p654,4,p818,Cats
p249,36,p286,Reptiles
p705,30,p10,Reptiles
p339,14,p391,Reptiles
p725,59,p198,Dogs
p521,70,p737,Birds
p496,69,p229,Dogs
p674,10,p175,Cats
p529,24,p152,Reptiles
p493,58,p494,Reptiles
p346,34,p128,Reptiles
p942,5,p285,Birds
p942,1,p74,Reptiles
p760,51,p622,Birds
p963,3,p4,Reptiles
p451,11,p925,Cats
p369,39,p543,Reptiles
p103,67,p197,Birds
p641,23,p460,Reptiles
p663,46,p936,Fish
p599,30,p217,Cats
p815,69,p445,Dogs
p440,25,p91,Birds
p750,18,p81,Fish
p460,39,p323,Cats
p764,19,p185,Fish
p140,34,p459,Cats
p492,47,p924,Cats
p36,13,p984,Dogs
p971,30,p890,Dogs
p146,32,p943,Dogs
p238,8,p785,Dogs
p269,15,p321,Dogs
p920,19,p796,Birds
p302,52,p304,Cats
p633,69,p740,Dogs
p649,32,p298,Dogs
p63,32,p561,Birds
p701,49,p291,Birds
p128,7,p647,Cats
p15,32,p444,Fish
p118,43,p676,Reptiles
p899,37,p344,Birds
p345,4,p126,Fish
p547,45,p275,Fish
p304,68,p998,Dogs
p572,7,p787,Cats
p696,67,p641,Fish
p872,14,p313,Dogs
p826,58,p627,Reptiles
p318,4,p102,Cats
p121,22,p268,Cats
p28,25,p32,Birds
p9,34,p765,Birds
p749,5,p772,Fish
p513,29,p113,Dogs
p827,49,p595,Cats
p177,58,p566,Dogs
p61,5,p847,Cats
p556,6,p139,Reptiles
p601,65,p756,Birds
p535,40,p81,Reptiles
p107,4,p457,Cats
p991,55,p556,Fish
p11,6,p502,Cats
p663,37,p113,Dogs
p731,21,p262,Cats
p839,1,p807,Fish
p414,46,p628,Birds
p765,12,p176,Reptiles
p650,3,p591,Cats
p880,51,p207,Reptiles
p582,24,p527,Birds
p759,7,p928,Dogs
p628,51,p791,Reptiles
p765,43,p716,Reptiles
p520,68,p931,Fish
p864,41,p124,Birds
p334,27,p537,Cats
p293,43,p580,Dogs
p991,45,p98,Reptiles
p613,26,p855,Fish
p132,1,p87,Birds
p667,32,p758,Cats
p257,55,p366,Fish
p763,66,p171,Cats
p283,4,p836,Dogs
p476,67,p952,Birds
p882,11,p585,Birds
p495,43,p938,Cats
p871,13,p609,Reptiles
p741,29,p441,Birds
p934,60,p384,Cats
p323,43,p887,Birds
p477,49,p179,Reptiles
p449,35,p718,Fish
p899,57,p899,Fish
p822,59,p301,Birds
p313,46,p258,Cats
p950,2,p73,Cats
p756,56,p837,Reptiles
p44,5,p997,Birds
p776,43,p514,Reptiles
p847,35,p812,Dogs
p358,4,p409,Dogs
p200,51,p363,Cats
p326,65,p341,Fish
p722,59,p986,Fish
p101,3,p946,Cats
p929,36,p265,Reptiles
p288,60,p270,Dogs
p595,47,p533,Dogs
p831,19,p761,Fish
p385,1,p106,Reptiles
p642,18,p166,Fish
p942,7,p663,Cats
p871,39,p930,Cats
p846,28,p175,Cats
p849,42,p354,Fish
p712,61,p732,Reptiles
p58,68,p438,Dogs
p492,52,p372,Reptiles
p625,70,p194,Reptiles
p790,65,p966,Dogs
p956,59,p313,Fish
p912,4,p675,Reptiles
p255,26,p218,Cats
p659,49,p935,Dogs
p491,63,p197,Birds
p958,56,p926,Birds
p128,52,p348,Reptiles
p285,13,p665,Reptiles
p594,60,p484,Birds
p19,14,p937,Cats
p367,27,p811,Dogs
p167,17,p400,Reptiles
p94,11,p33,Cats
p683,17,p549,Cats
p833,44,p481,Dogs
p271,63,p726,Reptiles
p787,63,p687,Cats
p458,61,p365,Fish
p203,46,p888,Dogs
p553,60,p660,Fish
p127,27,p423,Birds
p165,40,p123,Birds
p617,54,p460,Dogs
p921,44,p727,Birds
p317,40,p212,Reptiles
p674,48,p506,Dogs
