2013/12/18 21:46:16 INFO  - jmeter.util.JMeterUtils: Setting Locale to zh_TW 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Loading user properties from: /Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9/user.properties 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Loading system properties from: /Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9/system.properties 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Version 2.9-SNAPSHOT.20131201 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: java.version=1.6.0_65 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: os.name=Mac OS X 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: os.arch=x86_64 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: os.version=10.7.5 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: file.encoding=Big5 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Default Locale=中文 (台灣) 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: JMeter  Locale=中文 (台灣) 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: JMeterHome=/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: user.dir  =/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: PWD       =/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: IP: 192.168.0.101 Name: wonderland.local FullName: 192.168.0.101 
2013/12/18 21:46:17 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/12/18 21:46:24 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/12/18 21:46:24 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/12/18 21:46:24 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2013/12/18 21:46:25 INFO  - jmeter.JMeter: Loading file: TestPlan/Concurrent/CT80Update_test.jmx 
2013/12/18 21:46:25 INFO  - jmeter.services.FileServer: Default base='/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9' 
2013/12/18 21:46:25 INFO  - jmeter.services.FileServer: Set new base='/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9/TestPlan/Concurrent' 
2013/12/18 21:46:26 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/12/18 21:46:26 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/12/18 21:46:26 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1427507 
2013/12/18 21:46:27 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.4 
2013/12/18 21:46:27 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/12/18 21:46:27 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/12/18 21:46:27 INFO  - jmeter.services.FileServer: Set new base='/Users/roger/Documents/Multitenant workspace/apache-jmeter-2.9/TestPlan/Concurrent' 
2013/12/18 21:46:27 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/12/18 21:46:27 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/12/18 21:46:27 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2013/12/18 21:46:27 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/12/18 21:46:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
